eventId,eventName,eventDate,sector,price,status,userId,purchasedAt
1,Noche de Indie Austral,2026-05-18T21:00:00.000Z,general,25000,active,1,2026-03-10T14:22:00.000Z
1,Noche de Indie Austral,2026-05-18T21:00:00.000Z,vip,65000,active,2,2026-03-11T09:05:00.000Z
2,Festival Pixel Beat,2026-06-07T19:30:00.000Z,campo,32000,active,1,2026-03-15T18:40:00.000Z
2,Festival Pixel Beat,2026-06-07T19:30:00.000Z,vip,78000,active,3,2026-03-20T11:30:00.000Z
2,Festival Pixel Beat,2026-06-07T19:30:00.000Z,campo,32000,cancelled,4,2026-03-21T16:00:00.000Z
3,Sinfonia Bajo las Estrellas,2026-07-12T22:00:00.000Z,platea,45000,active,5,2026-04-01T10:15:00.000Z
3,Sinfonia Bajo las Estrellas,2026-07-12T22:00:00.000Z,general,28000,active,2,2026-04-02T13:50:00.000Z
3,Sinfonia Bajo las Estrellas,2026-07-12T22:00:00.000Z,platea,45000,active,6,2026-04-03T08:30:00.000Z
4,Stand Up en La Fabrica,2026-08-03T20:00:00.000Z,general,18000,used,7,2026-02-14T20:00:00.000Z
4,Stand Up en La Fabrica,2026-08-03T20:00:00.000Z,platea,26000,used,8,2026-02-14T20:00:00.000Z
4,Stand Up en La Fabrica,2026-08-03T20:00:00.000Z,general,18000,active,3,2026-04-05T17:20:00.000Z
5,Electronica del Rio,2026-09-26T23:30:00.000Z,campo,30000,active,4,2026-04-08T12:10:00.000Z
5,Electronica del Rio,2026-09-26T23:30:00.000Z,vip,90000,active,5,2026-04-08T12:45:00.000Z
5,Electronica del Rio,2026-09-26T23:30:00.000Z,general,22000,active,6,2026-04-09T09:00:00.000Z
5,Electronica del Rio,2026-09-26T23:30:00.000Z,campo,30000,cancelled,7,2026-04-09T09:30:00.000Z
5,Electronica del Rio,2026-09-26T23:30:00.000Z,vip,90000,active,1,2026-04-10T15:00:00.000Z
1,Noche de Indie Austral,2026-05-18T21:00:00.000Z,general,25000,active,8,2026-04-11T11:20:00.000Z
